0;0;0;0;land;false;unknown;0
1;214;85;228;land;true;plains;3
2;195;211;134;land;false;mountain;4
3;234;244;167;land;false;forest;1
4;228;236;42;land;false;hills;1
5;252;90;161;land;false;plains;1
6;226;234;118;land;true;marsh;1
7;187;118;246;land;false;mountain;3
8;187;141;223;land;false;mountain;3
9;95;195;231;land;true;mountain;4
10;216;223;83;land;false;mountain;3
11;200;249;154;land;false;mountain;3
12;249;146;212;land;true;jungle;1
13;190;183;216;land;true;plains;1
14;171;117;239;land;false;plains;3
15;226;207;249;land;false;hills;3
16;164;195;160;land;false;mountain;3
17;146;196;223;land;false;forest;4
18;130;222;253;land;true;plains;3
19;216;174;164;land;false;mountain;1
20;230;150;157;land;false;mountain;2
21;69;214;228;land;false;mountain;3
22;253;111;175;land;true;marsh;1
23;221;106;207;land;false;hills;3
24;174;205;202;land;false;hills;3
25;154;184;220;land;false;hills;1
26;216;196;128;land;true;jungle;1
27;109;200;223;land;true;mountain;1
28;242;174;251;land;false;desert;2
29;121;144;239;land;false;plains;1
30;156;235;123;land;true;plains;1
31;245;209;145;land;false;mountain;3
32;227;157;211;land;false;plains;1
33;190;222;203;land;false;forest;1
34;157;229;125;land;true;desert;1
35;252;88;178;land;true;plains;3
36;219;136;190;land;false;mountain;3
37;188;250;84;land;false;plains;1
38;247;61;223;land;false;hills;1
39;252;43;244;land;true;forest;3
40;249;196;64;land;false;mountain;2
41;254;150;165;land;false;plains;1
42;207;91;218;land;false;plains;2
43;190;246;111;land;false;mountain;1
44;244;215;107;land;false;forest;3
45;223;36;250;land;false;hills;1
46;174;210;246;land;false;forest;2
47;143;244;228;land;false;hills;3
48;167;221;210;land;true;jungle;1
49;196;247;241;land;false;plains;1
50;206;144;214;land;false;desert;1
51;251;159;137;land;false;hills;1
52;211;234;150;land;false;plains;1
53;214;187;178;land;true;plains;4
54;244;234;210;land;false;plains;1
55;254;191;112;land;true;forest;1
56;216;242;138;land;false;hills;1
57;149;182;180;land;false;desert;4
58;243;165;222;land;false;plains;1
59;223;235;218;land;false;plains;1
60;157;233;197;land;false;marsh;3
61;180;107;251;land;false;plains;2
62;212;155;249;land;false;plains;1
63;186;208;126;land;false;plains;1
64;206;226;139;land;true;hills;1
65;191;191;155;land;false;jungle;1
66;149;208;144;land;false;plains;1
67;129;176;210;land;false;plains;1
68;175;182;148;land;false;desert;1
69;132;164;246;land;false;hills;2
70;240;229;71;land;true;plains;3
71;175;227;241;land;true;jungle;1
72;87;251;191;land;false;mountain;2
73;76;241;211;land;true;hills;1
74;253;241;191;land;false;plains;1
75;233;219;141;land;false;plains;1
76;229;225;152;land;true;plains;1
77;106;245;237;land;false;hills;3
