444;coastal_bunker;3775.00;9.65;1061.00;-0.59;0
291;supply_node;3482.00;9.80;1213.00;3.48;0
444;supply_node;3783.00;10.40;1070.00;4.44;0
19;floating_harbor;2769.00;9.50;1438.00;0.97;11565
59;floating_harbor;2930.00;9.50;1608.00;0.91;6349
145;floating_harbor;3128.95;9.50;1747.95;-0.79;9228
156;floating_harbor;3073.13;9.50;1319.26;-0.46;12098
168;floating_harbor;2786.13;9.50;1269.74;-2.68;10109
196;floating_harbor;3378.00;9.50;1440.00;-1.57;9712
197;floating_harbor;3302.12;9.50;1446.18;-3.73;11683
305;floating_harbor;1549.79;9.50;823.36;-3.46;8252
517;floating_harbor;5092.26;9.50;72.87;-2.03;10637
536;floating_harbor;5022.92;9.50;1362.53;-4.19;12493
5;arms_factory;3148.00;10.60;1855.00;3.15;0
5;arms_factory;3201.00;10.05;1872.00;0.99;0
5;arms_factory;3200.00;10.48;1864.00;3.66;0
5;arms_factory;3235.00;10.35;1882.00;0.04;0
5;arms_factory;3170.00;10.00;1847.00;1.60;0
5;arms_factory;3301.00;10.10;1891.00;5.72;0
5;industrial_complex;3160.00;10.48;1854.00;0.65;0
5;industrial_complex;3103.00;10.10;1858.00;4.77;0
5;industrial_complex;3213.00;10.10;1872.00;0.04;0
5;industrial_complex;3237.00;10.45;1881.00;4.17;0
5;industrial_complex;3143.00;10.55;1857.00;5.37;0
5;industrial_complex;3286.00;10.57;1891.00;3.21;0
5;air_base;3289.00;10.40;1885.00;6.23;0
5;supply_node;3260.00;10.10;1885.00;2.49;0
5;supply_node;3289.00;10.62;1889.00;5.43;0
5;supply_node;3176.00;10.20;1857.00;2.08;0
5;supply_node;3235.00;10.38;1878.00;4.67;0
5;supply_node;3193.00;10.45;1866.00;1.32;0
5;supply_node;3312.00;10.50;1896.00;2.80;0
5;supply_node;3149.00;10.57;1855.00;0.55;0
5;supply_node;3122.00;10.38;1854.00;3.49;0
5;supply_node;3213.00;10.20;1868.00;4.97;0
5;supply_node;3094.00;10.10;1862.00;2.73;0
5;naval_base;3081.00;9.50;1873.00;-2.76;10634
5;naval_base;3120.00;10.03;1860.00;-3.14;10860
5;naval_base;3139.00;10.07;1863.00;-3.14;10860
5;naval_base;3189.00;9.50;1852.00;0.59;10968
5;naval_base;3257.00;10.05;1881.00;0.00;10250
5;naval_base;3197.00;10.00;1877.00;-2.90;10860
5;naval_base;3282.00;9.50;1879.00;0.28;10274
5;naval_base;3301.00;10.05;1900.00;-3.02;10227
5;naval_base;3223.00;10.03;1878.00;-3.31;10860
5;naval_base;3224.00;9.73;1879.00;-2.09;10860
5;bunker;3169.00;10.23;1859.00;5.95;0
5;bunker;3232.00;10.15;1882.00;2.68;0
5;bunker;3254.00;10.05;1886.00;3.90;0
5;bunker;3324.00;10.48;1903.00;1.73;0
5;bunker;3102.00;10.05;1860.00;4.40;0
5;bunker;3112.00;10.30;1855.00;5.96;0
5;bunker;3160.00;10.53;1855.00;2.34;0
5;bunker;3285.00;10.75;1888.00;0.18;0
5;bunker;3212.00;10.30;1869.00;1.39;0
5;bunker;3201.00;10.20;1870.00;4.40;0
5;coastal_bunker;3125.00;10.05;1860.00;-3.14;0
5;coastal_bunker;3259.00;9.50;1881.00;0.00;0
5;coastal_bunker;3138.00;10.15;1863.00;-3.14;0
5;coastal_bunker;3286.00;10.07;1896.00;-2.58;0
5;coastal_bunker;3093.00;9.98;1875.00;-2.76;0
5;coastal_bunker;3186.00;9.68;1872.00;-2.90;0
5;coastal_bunker;3312.00;10.00;1884.00;-0.08;0
5;coastal_bunker;3232.00;9.50;1872.00;0.38;0
5;coastal_bunker;3211.00;9.50;1862.00;0.20;0
5;coastal_bunker;3188.00;9.50;1854.00;0.59;0
5;dockyard;3221.00;9.50;1868.00;0.20;0
5;anti_air_building;3098.00;10.00;1854.00;4.57;0
5;anti_air_building;3199.00;10.05;1857.00;2.41;0
5;anti_air_building;3163.00;10.30;1859.00;0.25;0
5;synthetic_refinery;3161.00;10.45;1853.00;0.35;0
5;fuel_silo;3295.00;10.35;1888.00;4.47;0
5;rocket_site;3101.00;9.95;1853.00;3.87;0
5;nuclear_reactor;3205.00;10.35;1867.00;5.08;0
6;arms_factory;947.00;10.00;2018.00;3.66;0
6;arms_factory;847.00;10.20;2028.00;0.04;0
6;arms_factory;886.00;9.90;1988.00;1.60;0
6;arms_factory;922.00;10.07;1994.00;5.72;0
6;arms_factory;918.00;10.10;2008.00;0.65;0
6;arms_factory;913.00;10.38;1994.00;4.77;0
6;industrial_complex;878.00;9.90;1998.00;0.04;0
6;industrial_complex;891.00;10.25;2025.00;4.17;0
6;industrial_complex;854.00;10.10;2022.00;5.37;0
6;industrial_complex;852.00;10.48;2031.00;3.21;0
6;industrial_complex;905.00;10.20;2010.00;6.23;0
6;industrial_complex;911.00;10.48;2001.00;1.16;0
6;air_base;862.00;10.20;2026.00;5.28;0
6;supply_node;901.00;10.10;2011.00;2.08;0
6;supply_node;850.00;10.43;2030.00;4.67;0
6;supply_node;931.00;9.90;2019.00;1.32;0
6;supply_node;868.00;10.48;2031.00;2.80;0
6;supply_node;923.00;9.68;2007.00;0.55;0
6;supply_node;885.00;9.90;1993.00;3.49;0
6;supply_node;887.00;10.30;2025.00;4.97;0
6;supply_node;909.00;10.07;1991.00;2.73;0
